	Ctenosaura_bakeri	Cachryx_defensor	Iguana_delicatissima	Iguana_iguana	Cyclura_pinguis	Gambelia_wislizenii	Basiliscus_vittatus	Corytophanes_hernandesii	Laemanctus_serratus	Anolis_apletophallus	Anolis_lemurinus	Anolis_rodriguezii	Anolis_tropidonotus	Anolis_sericeus	Anolis_planiceps	Anolis_sagrei	Anolis_carolinensis	Sceloporus_tristichus	Sceloporus_undulatus	Sceloporus_occidentalis	Sceloporus_chrysostictus	Urosaurus_nigricaudus	Phrynosoma_platyrhinos	Phrynosoma_blainvillii	Calotes_versicolor	Agama_finchi	Agama_doriae	Xenagama_zonura	Acanthocercus_atricollis	Acanthocercus_guentherpetersi	Acanthocercus_cyanogaster	Acanthocercus_annectans	Phrynocephalus_versicolor	Phrynocephalus_vlangalii	Phrynocephalus_putjatai	Phrynocephalus_forsythii	Laudakia_wui	Pogona_vitticeps	Intellagama_lesueurii	Trioceros_balebicornutus	Trioceros_harennae	Trioceros_affinis	Chamaeleo_calyptratus	Chamaeleo_gracilis	Chamaeleo_laevigatus	Chamaeleo_dilepis	Bradypodion_ventrale	Bradypodion_pumilum	Furcifer_pardalis	Elgaria_multicarinata	Ophisaurus_attenuatus	Anniella_stebbinsi	Varanus_macraei	Varanus_salvator	Varanus_acanthurus	Varanus_komodoensis	Varanus_albigularis	Varanus_niloticus	Shinisaurus_crocodilurus	Acrochordus_granulatus	Latastia_doriai	Darevskia_unisexualis	Darevskia_armeniaca	Darevskia_mixta	Darevskia_valentini	Lacerta_agilis	Lacerta_bilineata	Lacerta_viridis	Zootoca_vivipara	Podarcis_bocagei	Podarcis_vaucheri	Podarcis_liolepis	Podarcis_muralis	Podarcis_raffonei	Podarcis_siculus	Podarcis_tiliguerta	Podarcis_filfolensis	Podarcis_cretensis	Podarcis_pityusensis	Podarcis_lilfordi	Podarcis_gaigeae	Podarcis_melisellensis	Podarcis_erhardii	Gallotia_galloti	Rhineura_floridana	Tretioscincus_oriximinensis	Calyptommatus_sinebrachiatus	Bachia_flavescens	Aspidoscelis_angusticeps	Aspidoscelis_marmoratus	Aspidoscelis_tigris	Holcosus_undulatus	Kentropyx_calcarata	Ameiva_ameiva	Tupinambis_teguixin	Salvator_merianae	Carinascincus_ocellatus	Cryptoblepharus_egeriae	Acritoscincus_duperreyi	Mochlus_sundevallii	Trachylepis_striata	Trachylepis_maculilabris	Trachylepis_brevicollis	Marisora_unimarginata	Tiliqua_scincoides	Tiliqua_occipitalis	Lerista_edwardsae	Mesoscincus_schwartzei	Plestiodon_gilberti	Cordylus_rivae	Hemicordylus_capensis	Paroedura_picta	Gekko_japonicus	Gekko_gecko	Lepidodactylus_listeri	Heteronotia_binoei	Hemidactylus_brookii	Hemidactylus_flaviviridis	Hemidactylus_macropholis	Mediodactylus_kotschyi	Asaccus_caudivolvulus	Thecadactylus_rapicauda	Tarentola_annularis	Sphaerodactylus_townsendi	Sphaerodactylus_glaucus	Gonatodes_alexandermendesi	Teratoscincus_roborowskii	Euleptes_europaea	Correlophus_ciliatus	Eublepharis_macularius	Coleonyx_elegans
Agama_doriae	336.206999864	336.206999864	336.206999864	336.206999864	336.206999865	336.206999852	336.206999852	336.206999852	336.206999852	336.206999853	336.206999853	336.206999854	336.206999853	336.206999857	336.206999852	336.20699985	336.206999854	336.206999854	336.206999854	336.206999853	336.206999846	336.206999844	336.206999854	336.206999854	99.2252114	41.93427412	0	68.698695	68.698695	68.698695	68.698695	68.698695	76.992272492	76.992272491	76.992272491	76.992272491	80.143334456	102.245600514	102.245600514	246.1307999461	246.1307999461	246.1307999461	246.1307999361	246.1307999361	246.1307999361	246.1307999361	246.1307999401	246.1307999401	246.130799944	359.818799844	359.818799844	359.818799854	359.8187998492	359.8187998492	359.818799845	359.818799845	359.818799848	359.818799848	359.818799886	250.1232000242	376.6737998172	376.6737998157	376.6737998147	376.6737998147	376.6737998097	376.6737998197	376.6737998197	376.6737998197	376.6737998172	376.6737998196	376.6737998196	376.6737998204	376.6737998204	376.6737998202	376.6737998202	376.6737998202	376.6737998202	376.6737998204	376.6737998202	376.6737998202	376.6737998202	376.6737998202	376.6737998172	376.6737998272	376.6737997472	376.6737998272	376.6737998272	376.6737998272	376.6737998302	376.6737998252	376.6737998252	376.6737998302	376.6737998232	376.6737998232	376.6737998182	376.6737998182	407.4393997461	407.4393997461	407.4393997392	407.4393997592	407.4393997602	407.4393997602	407.4393997652	407.4393997552	407.4393997432	407.4393997432	407.4393997132	407.4393997482	407.4393997482	407.4393997082	407.4393997082	426.3841998052	426.3841998022	426.3841998022	426.3841998002	426.3841998102	426.3841998062	426.3841998062	426.3841998092	426.3841997992	426.3841998092	426.3841998092	426.3841998092	426.3841998192	426.3841998192	426.3841998092	426.3841998092	426.3841998092	426.3841997992	426.3841998052	426.3841998152
Xenagama_zonura	336.206999864	336.206999864	336.206999864	336.206999864	336.206999865	336.206999852	336.206999852	336.206999852	336.206999852	336.206999853	336.206999853	336.206999854	336.206999853	336.206999857	336.206999852	336.20699985	336.206999854	336.206999854	336.206999854	336.206999853	336.206999846	336.206999844	336.206999854	336.206999854	99.2252114	68.698695	68.698695	0	23.1502848	42.518230572	42.518230572	48.888282	76.992272492	76.992272491	76.992272491	76.992272491	80.143334456	102.245600514	102.245600514	246.1307999461	246.1307999461	246.1307999461	246.1307999361	246.1307999361	246.1307999361	246.1307999361	246.1307999401	246.1307999401	246.130799944	359.818799844	359.818799844	359.818799854	359.8187998492	359.8187998492	359.818799845	359.818799845	359.818799848	359.818799848	359.818799886	250.1232000242	376.6737998172	376.6737998157	376.6737998147	376.6737998147	376.6737998097	376.6737998197	376.6737998197	376.6737998197	376.6737998172	376.6737998196	376.6737998196	376.6737998204	376.6737998204	376.6737998202	376.6737998202	376.6737998202	376.6737998202	376.6737998204	376.6737998202	376.6737998202	376.6737998202	376.6737998202	376.6737998172	376.6737998272	376.6737997472	376.6737998272	376.6737998272	376.6737998272	376.6737998302	376.6737998252	376.6737998252	376.6737998302	376.6737998232	376.6737998232	376.6737998182	376.6737998182	407.4393997461	407.4393997461	407.4393997392	407.4393997592	407.4393997602	407.4393997602	407.4393997652	407.4393997552	407.4393997432	407.4393997432	407.4393997132	407.4393997482	407.4393997482	407.4393997082	407.4393997082	426.3841998052	426.3841998022	426.3841998022	426.3841998002	426.3841998102	426.3841998062	426.3841998062	426.3841998092	426.3841997992	426.3841998092	426.3841998092	426.3841998092	426.3841998192	426.3841998192	426.3841998092	426.3841998092	426.3841998092	426.3841997992	426.3841998052	426.3841998152
Acanthocercus_atricollis	336.206999864	336.206999864	336.206999864	336.206999864	336.206999865	336.206999852	336.206999852	336.206999852	336.206999852	336.206999853	336.206999853	336.206999854	336.206999853	336.206999857	336.206999852	336.20699985	336.206999854	336.206999854	336.206999854	336.206999853	336.206999846	336.206999844	336.206999854	336.206999854	99.2252114	68.698695	68.698695	23.1502848	0	42.518230572	42.518230572	48.888282	76.992272492	76.992272491	76.992272491	76.992272491	80.143334456	102.245600514	102.245600514	246.1307999461	246.1307999461	246.1307999461	246.1307999361	246.1307999361	246.1307999361	246.1307999361	246.1307999401	246.1307999401	246.130799944	359.818799844	359.818799844	359.818799854	359.8187998492	359.8187998492	359.818799845	359.818799845	359.818799848	359.818799848	359.818799886	250.1232000242	376.6737998172	376.6737998157	376.6737998147	376.6737998147	376.6737998097	376.6737998197	376.6737998197	376.6737998197	376.6737998172	376.6737998196	376.6737998196	376.6737998204	376.6737998204	376.6737998202	376.6737998202	376.6737998202	376.6737998202	376.6737998204	376.6737998202	376.6737998202	376.6737998202	376.6737998202	376.6737998172	376.6737998272	376.6737997472	376.6737998272	376.6737998272	376.6737998272	376.6737998302	376.6737998252	376.6737998252	376.6737998302	376.6737998232	376.6737998232	376.6737998182	376.6737998182	407.4393997461	407.4393997461	407.4393997392	407.4393997592	407.4393997602	407.4393997602	407.4393997652	407.4393997552	407.4393997432	407.4393997432	407.4393997132	407.4393997482	407.4393997482	407.4393997082	407.4393997082	426.3841998052	426.3841998022	426.3841998022	426.3841998002	426.3841998102	426.3841998062	426.3841998062	426.3841998092	426.3841997992	426.3841998092	426.3841998092	426.3841998092	426.3841998192	426.3841998192	426.3841998092	426.3841998092	426.3841998092	426.3841997992	426.3841998052	426.3841998152
Acanthocercus_guentherpetersi	336.206999864	336.206999864	336.206999864	336.206999864	336.206999865	336.206999852	336.206999852	336.206999852	336.206999852	336.206999853	336.206999853	336.206999854	336.206999853	336.206999857	336.206999852	336.20699985	336.206999854	336.206999854	336.206999854	336.206999853	336.206999846	336.206999844	336.206999854	336.206999854	99.2252114	68.698695	68.698695	42.518230572	42.518230572	0	25.136124	48.888282	76.992272492	76.992272491	76.992272491	76.992272491	80.143334456	102.245600514	102.245600514	246.1307999461	246.1307999461	246.1307999461	246.1307999361	246.1307999361	246.1307999361	246.1307999361	246.1307999401	246.1307999401	246.130799944	359.818799844	359.818799844	359.818799854	359.8187998492	359.8187998492	359.818799845	359.818799845	359.818799848	359.818799848	359.818799886	250.1232000242	376.6737998172	376.6737998157	376.6737998147	376.6737998147	376.6737998097	376.6737998197	376.6737998197	376.6737998197	376.6737998172	376.6737998196	376.6737998196	376.6737998204	376.6737998204	376.6737998202	376.6737998202	376.6737998202	376.6737998202	376.6737998204	376.6737998202	376.6737998202	376.6737998202	376.6737998202	376.6737998172	376.6737998272	376.6737997472	376.6737998272	376.6737998272	376.6737998272	376.6737998302	376.6737998252	376.6737998252	376.6737998302	376.6737998232	376.6737998232	376.6737998182	376.6737998182	407.4393997461	407.4393997461	407.4393997392	407.4393997592	407.4393997602	407.4393997602	407.4393997652	407.4393997552	407.4393997432	407.4393997432	407.4393997132	407.4393997482	407.4393997482	407.4393997082	407.4393997082	426.3841998052	426.3841998022	426.3841998022	426.3841998002	426.3841998102	426.3841998062	426.3841998062	426.3841998092	426.3841997992	426.3841998092	426.3841998092	426.3841998092	426.3841998192	426.3841998192	426.3841998092	426.3841998092	426.3841998092	426.3841997992	426.3841998052	426.3841998152
Acanthocercus_cyanogaster	336.206999864	336.206999864	336.206999864	336.206999864	336.206999865	336.206999852	336.206999852	336.206999852	336.206999852	336.206999853	336.206999853	336.206999854	336.206999853	336.206999857	336.206999852	336.20699985	336.206999854	336.206999854	336.206999854	336.206999853	336.206999846	336.206999844	336.206999854	336.206999854	99.2252114	68.698695	68.698695	42.518230572	42.518230572	25.136124	0	48.888282	76.992272492	76.992272491	76.992272491	76.992272491	80.143334456	102.245600514	102.245600514	246.1307999461	246.1307999461	246.1307999461	246.1307999361	246.1307999361	246.1307999361	246.1307999361	246.1307999401	246.1307999401	246.130799944	359.818799844	359.818799844	359.818799854	359.8187998492	359.8187998492	359.818799845	359.818799845	359.818799848	359.818799848	359.818799886	250.1232000242	376.6737998172	376.6737998157	376.6737998147	376.6737998147	376.6737998097	376.6737998197	376.6737998197	376.6737998197	376.6737998172	376.6737998196	376.6737998196	376.6737998204	376.6737998204	376.6737998202	376.6737998202	376.6737998202	376.6737998202	376.6737998204	376.6737998202	376.6737998202	376.6737998202	376.6737998202	376.6737998172	376.6737998272	376.6737997472	376.6737998272	376.6737998272	376.6737998272	376.6737998302	376.6737998252	376.6737998252	376.6737998302	376.6737998232	376.6737998232	376.6737998182	376.6737998182	407.4393997461	407.4393997461	407.4393997392	407.4393997592	407.4393997602	407.4393997602	407.4393997652	407.4393997552	407.4393997432	407.4393997432	407.4393997132	407.4393997482	407.4393997482	407.4393997082	407.4393997082	426.3841998052	426.3841998022	426.3841998022	426.3841998002	426.3841998102	426.3841998062	426.3841998062	426.3841998092	426.3841997992	426.3841998092	426.3841998092	426.3841998092	426.3841998192	426.3841998192	426.3841998092	426.3841998092	426.3841998092	426.3841997992	426.3841998052	426.3841998152
Acanthocercus_annectans	336.206999864	336.206999864	336.206999864	336.206999864	336.206999865	336.206999852	336.206999852	336.206999852	336.206999852	336.206999853	336.206999853	336.206999854	336.206999853	336.206999857	336.206999852	336.20699985	336.206999854	336.206999854	336.206999854	336.206999853	336.206999846	336.206999844	336.206999854	336.206999854	99.2252114	68.698695	68.698695	48.888282	48.888282	48.888282	48.888282	0	76.992272492	76.992272491	76.992272491	76.992272491	80.143334456	102.245600514	102.245600514	246.1307999461	246.1307999461	246.1307999461	246.1307999361	246.1307999361	246.1307999361	246.1307999361	246.1307999401	246.1307999401	246.130799944	359.818799844	359.818799844	359.818799854	359.8187998492	359.8187998492	359.818799845	359.818799845	359.818799848	359.818799848	359.818799886	250.1232000242	376.6737998172	376.6737998157	376.6737998147	376.6737998147	376.6737998097	376.6737998197	376.6737998197	376.6737998197	376.6737998172	376.6737998196	376.6737998196	376.6737998204	376.6737998204	376.6737998202	376.6737998202	376.6737998202	376.6737998202	376.6737998204	376.6737998202	376.6737998202	376.6737998202	376.6737998202	376.6737998172	376.6737998272	376.6737997472	376.6737998272	376.6737998272	376.6737998272	376.6737998302	376.6737998252	376.6737998252	376.6737998302	376.6737998232	376.6737998232	376.6737998182	376.6737998182	407.4393997461	407.4393997461	407.4393997392	407.4393997592	407.4393997602	407.4393997602	407.4393997652	407.4393997552	407.4393997432	407.4393997432	407.4393997132	407.4393997482	407.4393997482	407.4393997082	407.4393997082	426.3841998052	426.3841998022	426.3841998022	426.3841998002	426.3841998102	426.3841998062	426.3841998062	426.3841998092	426.3841997992	426.3841998092	426.3841998092	426.3841998092	426.3841998192	426.3841998192	426.3841998092	426.3841998092	426.3841998092	426.3841997992	426.3841998052	426.3841998152
Phrynocephalus_versicolor	336.206999872	336.206999872	336.206999872	336.206999872	336.206999873	336.20699986	336.20699986	336.20699986	336.20699986	336.206999861	336.206999861	336.206999862	336.206999861	336.206999865	336.20699986	336.206999858	336.206999862	336.206999862	336.206999862	336.206999861	336.206999854	336.206999852	336.206999862	336.206999862	99.225211408	76.992272492	76.992272492	76.992272492	76.992272492	76.992272492	76.992272492	76.992272492	0	32.068131159	32.068131159	32.068131159	80.143334464	102.245600522	102.245600522	246.1307999541	246.1307999541	246.1307999541	246.1307999441	246.1307999441	246.1307999441	246.1307999441	246.1307999481	246.1307999481	246.130799952	359.818799852	359.818799852	359.818799862	359.8187998572	359.8187998572	359.818799853	359.818799853	359.818799856	359.818799856	359.818799894	250.1232000322	376.6737998252	376.6737998237	376.6737998227	376.6737998227	376.6737998177	376.6737998277	376.6737998277	376.6737998277	376.6737998252	376.6737998276	376.6737998276	376.6737998284	376.6737998284	376.6737998282	376.6737998282	376.6737998282	376.6737998282	376.6737998284	376.6737998282	376.6737998282	376.6737998282	376.6737998282	376.6737998252	376.6737998352	376.6737997552	376.6737998352	376.6737998352	376.6737998352	376.6737998382	376.6737998332	376.6737998332	376.6737998382	376.6737998312	376.6737998312	376.6737998262	376.6737998262	407.4393997541	407.4393997541	407.4393997472	407.4393997672	407.4393997682	407.4393997682	407.4393997732	407.4393997632	407.4393997512	407.4393997512	407.4393997212	407.4393997562	407.4393997562	407.4393997162	407.4393997162	426.3841998132	426.3841998102	426.3841998102	426.3841998082	426.3841998182	426.3841998142	426.3841998142	426.3841998172	426.3841998072	426.3841998172	426.3841998172	426.3841998172	426.3841998272	426.3841998272	426.3841998172	426.3841998172	426.3841998172	426.3841998072	426.3841998132	426.3841998232
Phrynocephalus_vlangalii	336.206999871	336.206999871	336.206999871	336.206999871	336.206999872	336.206999859	336.206999859	336.206999859	336.206999859	336.20699986	336.20699986	336.206999861	336.20699986	336.206999864	336.206999859	336.206999857	336.206999861	336.206999861	336.206999861	336.20699986	336.206999853	336.206999851	336.206999861	336.206999861	99.225211407	76.992272491	76.992272491	76.992272491	76.992272491	76.992272491	76.992272491	76.992272491	32.068131159	0	12.681428	15.012326	80.143334463	102.245600521	102.245600521	246.1307999531	246.1307999531	246.1307999531	246.1307999431	246.1307999431	246.1307999431	246.1307999431	246.1307999471	246.1307999471	246.130799951	359.818799851	359.818799851	359.818799861	359.8187998562	359.8187998562	359.818799852	359.818799852	359.818799855	359.818799855	359.818799893	250.1232000312	376.6737998242	376.6737998227	376.6737998217	376.6737998217	376.6737998167	376.6737998267	376.6737998267	376.6737998267	376.6737998242	376.6737998266	376.6737998266	376.6737998274	376.6737998274	376.6737998272	376.6737998272	376.6737998272	376.6737998272	376.6737998274	376.6737998272	376.6737998272	376.6737998272	376.6737998272	376.6737998242	376.6737998342	376.6737997542	376.6737998342	376.6737998342	376.6737998342	376.6737998372	376.6737998322	376.6737998322	376.6737998372	376.6737998302	376.6737998302	376.6737998252	376.6737998252	407.4393997531	407.4393997531	407.4393997462	407.4393997662	407.4393997672	407.4393997672	407.4393997722	407.4393997622	407.4393997502	407.4393997502	407.4393997202	407.4393997552	407.4393997552	407.4393997152	407.4393997152	426.3841998122	426.3841998092	426.3841998092	426.3841998072	426.3841998172	426.3841998132	426.3841998132	426.3841998162	426.3841998062	426.3841998162	426.3841998162	426.3841998162	426.3841998262	426.3841998262	426.3841998162	426.3841998162	426.3841998162	426.3841998062	426.3841998122	426.3841998222
Phrynocephalus_putjatai	336.206999871	336.206999871	336.206999871	336.206999871	336.206999872	336.206999859	336.206999859	336.206999859	336.206999859	336.20699986	336.20699986	336.206999861	336.20699986	336.206999864	336.206999859	336.206999857	336.206999861	336.206999861	336.206999861	336.20699986	336.206999853	336.206999851	336.206999861	336.206999861	99.225211407	76.992272491	76.992272491	76.992272491	76.992272491	76.992272491	76.992272491	76.992272491	32.068131159	12.681428	0	15.012326	80.143334463	102.245600521	102.245600521	246.1307999531	246.1307999531	246.1307999531	246.1307999431	246.1307999431	246.1307999431	246.1307999431	246.1307999471	246.1307999471	246.130799951	359.818799851	359.818799851	359.818799861	359.8187998562	359.8187998562	359.818799852	359.818799852	359.818799855	359.818799855	359.818799893	250.1232000312	376.6737998242	376.6737998227	376.6737998217	376.6737998217	376.6737998167	376.6737998267	376.6737998267	376.6737998267	376.6737998242	376.6737998266	376.6737998266	376.6737998274	376.6737998274	376.6737998272	376.6737998272	376.6737998272	376.6737998272	376.6737998274	376.6737998272	376.6737998272	376.6737998272	376.6737998272	376.6737998242	376.6737998342	376.6737997542	376.6737998342	376.6737998342	376.6737998342	376.6737998372	376.6737998322	376.6737998322	376.6737998372	376.6737998302	376.6737998302	376.6737998252	376.6737998252	407.4393997531	407.4393997531	407.4393997462	407.4393997662	407.4393997672	407.4393997672	407.4393997722	407.4393997622	407.4393997502	407.4393997502	407.4393997202	407.4393997552	407.4393997552	407.4393997152	407.4393997152	426.3841998122	426.3841998092	426.3841998092	426.3841998072	426.3841998172	426.3841998132	426.3841998132	426.3841998162	426.3841998062	426.3841998162	426.3841998162	426.3841998162	426.3841998262	426.3841998262	426.3841998162	426.3841998162	426.3841998162	426.3841998062	426.3841998122	426.3841998222
Phrynocephalus_forsythii	336.206999871	336.206999871	336.206999871	336.206999871	336.206999872	336.206999859	336.206999859	336.206999859	336.206999859	336.20699986	336.20699986	336.206999861	336.20699986	336.206999864	336.206999859	336.206999857	336.206999861	336.206999861	336.206999861	336.20699986	336.206999853	336.206999851	336.206999861	336.206999861	99.225211407	76.992272491	76.992272491	76.992272491	76.992272491	76.992272491	76.992272491	76.992272491	32.068131159	15.012326	15.012326	0	80.143334463	102.245600521	102.245600521	246.1307999531	246.1307999531	246.1307999531	246.1307999431	246.1307999431	246.1307999431	246.1307999431	246.1307999471	246.1307999471	246.130799951	359.818799851	359.818799851	359.818799861	359.8187998562	359.8187998562	359.818799852	359.818799852	359.818799855	359.818799855	359.818799893	250.1232000312	376.6737998242	376.6737998227	376.6737998217	376.6737998217	376.6737998167	376.6737998267	376.6737998267	376.6737998267	376.6737998242	376.6737998266	376.6737998266	376.6737998274	376.6737998274	376.6737998272	376.6737998272	376.6737998272	376.6737998272	376.6737998274	376.6737998272	376.6737998272	376.6737998272	376.6737998272	376.6737998242	376.6737998342	376.6737997542	376.6737998342	376.6737998342	376.6737998342	376.6737998372	376.6737998322	376.6737998322	376.6737998372	376.6737998302	376.6737998302	376.6737998252	376.6737998252	407.4393997531	407.4393997531	407.4393997462	407.4393997662	407.4393997672	407.4393997672	407.4393997722	407.4393997622	407.4393997502	407.4393997502	407.4393997202	407.4393997552	407.4393997552	407.4393997152	407.4393997152	426.3841998122	426.3841998092	426.3841998092	426.3841998072	426.3841998172	426.3841998132	426.3841998132	426.3841998162	426.3841998062	426.3841998162	426.3841998162	426.3841998162	426.3841998262	426.3841998262	426.3841998162	426.3841998162	426.3841998162	426.3841998062	426.3841998122	426.3841998222
Laudakia_wui	336.206999868	336.206999868	336.206999868	336.206999868	336.206999869	336.206999856	336.206999856	336.206999856	336.206999856	336.206999857	336.206999857	336.206999858	336.206999857	336.206999861	336.206999856	336.206999854	336.206999858	336.206999858	336.206999858	336.206999857	336.20699985	336.206999848	336.206999858	336.206999858	99.225211404	80.143334456	80.143334456	80.143334456	80.143334456	80.143334456	80.143334456	80.143334456	80.143334464	80.143334463	80.143334463	80.143334463	0	102.245600518	102.245600518	246.1307999501	246.1307999501	246.1307999501	246.1307999401	246.1307999401	246.1307999401	246.1307999401	246.1307999441	246.1307999441	246.130799948	359.818799848	359.818799848	359.818799858	359.8187998532	359.8187998532	359.818799849	359.818799849	359.818799852	359.818799852	359.81879989	250.1232000282	376.6737998212	376.6737998197	376.6737998187	376.6737998187	376.6737998137	376.6737998237	376.6737998237	376.6737998237	376.6737998212	376.6737998236	376.6737998236	376.6737998244	376.6737998244	376.6737998242	376.6737998242	376.6737998242	376.6737998242	376.6737998244	376.6737998242	376.6737998242	376.6737998242	376.6737998242	376.6737998212	376.6737998312	376.6737997512	376.6737998312	376.6737998312	376.6737998312	376.6737998342	376.6737998292	376.6737998292	376.6737998342	376.6737998272	376.6737998272	376.6737998222	376.6737998222	407.4393997501	407.4393997501	407.4393997432	407.4393997632	407.4393997642	407.4393997642	407.4393997692	407.4393997592	407.4393997472	407.4393997472	407.4393997172	407.4393997522	407.4393997522	407.4393997122	407.4393997122	426.3841998092	426.3841998062	426.3841998062	426.3841998042	426.3841998142	426.3841998102	426.3841998102	426.3841998132	426.3841998032	426.3841998132	426.3841998132	426.3841998132	426.3841998232	426.3841998232	426.3841998132	426.3841998132	426.3841998132	426.3841998032	426.3841998092	426.3841998192
Pogona_vitticeps	336.20699987	336.20699987	336.20699987	336.20699987	336.206999871	336.206999858	336.206999858	336.206999858	336.206999858	336.206999859	336.206999859	336.20699986	336.206999859	336.206999863	336.206999858	336.206999856	336.20699986	336.20699986	336.20699986	336.206999859	336.206999852	336.20699985	336.20699986	336.20699986	102.245600514	102.245600514	102.245600514	102.245600514	102.245600514	102.245600514	102.245600514	102.245600514	102.245600522	102.245600521	102.245600521	102.245600521	102.245600518	0	34.3270375	246.1307999521	246.1307999521	246.1307999521	246.1307999421	246.1307999421	246.1307999421	246.1307999421	246.1307999461	246.1307999461	246.13079995	359.81879985	359.81879985	359.81879986	359.8187998552	359.8187998552	359.818799851	359.818799851	359.818799854	359.818799854	359.818799892	250.1232000302	376.6737998232	376.6737998217	376.6737998207	376.6737998207	376.6737998157	376.6737998257	376.6737998257	376.6737998257	376.6737998232	376.6737998256	376.6737998256	376.6737998264	376.6737998264	376.6737998262	376.6737998262	376.6737998262	376.6737998262	376.6737998264	376.6737998262	376.6737998262	376.6737998262	376.6737998262	376.6737998232	376.6737998332	376.6737997532	376.6737998332	376.6737998332	376.6737998332	376.6737998362	376.6737998312	376.6737998312	376.6737998362	376.6737998292	376.6737998292	376.6737998242	376.6737998242	407.4393997521	407.4393997521	407.4393997452	407.4393997652	407.4393997662	407.4393997662	407.4393997712	407.4393997612	407.4393997492	407.4393997492	407.4393997192	407.4393997542	407.4393997542	407.4393997142	407.4393997142	426.3841998112	426.3841998082	426.3841998082	426.3841998062	426.3841998162	426.3841998122	426.3841998122	426.3841998152	426.3841998052	426.3841998152	426.3841998152	426.3841998152	426.3841998252	426.3841998252	426.3841998152	426.3841998152	426.3841998152	426.3841998052	426.3841998112	426.3841998212
Intellagama_lesueurii	336.20699987	336.20699987	336.20699987	336.20699987	336.206999871	336.206999858	336.206999858	336.206999858	336.206999858	336.206999859	336.206999859	336.20699986	336.206999859	336.206999863	336.206999858	336.206999856	336.20699986	336.20699986	336.20699986	336.206999859	336.206999852	336.20699985	336.20699986	336.20699986	102.245600514	102.245600514	102.245600514	102.245600514	102.245600514	102.245600514	102.245600514	102.245600514	102.245600522	102.245600521	102.245600521	102.245600521	102.245600518	34.3270375	0	246.1307999521	246.1307999521	246.1307999521	246.1307999421	246.1307999421	246.1307999421	246.1307999421	246.1307999461	246.1307999461	246.13079995	359.81879985	359.81879985	359.81879986	359.8187998552	359.8187998552	359.818799851	359.818799851	359.818799854	359.818799854	359.818799892	250.1232000302	376.6737998232	376.6737998217	376.6737998207	376.6737998207	376.6737998157	376.6737998257	376.6737998257	376.6737998257	376.6737998232	376.6737998256	376.6737998256	376.6737998264	376.6737998264	376.6737998262	376.6737998262	376.6737998262	376.6737998262	376.6737998264	376.6737998262	376.6737998262	376.6737998262	376.6737998262	376.6737998232	376.6737998332	376.6737997532	376.6737998332	376.6737998332	376.6737998332	376.6737998362	376.6737998312	376.6737998312	376.6737998362	376.6737998292	376.6737998292	376.6737998242	376.6737998242	407.4393997521	407.4393997521	407.4393997452	407.4393997652	407.4393997662	407.4393997662	407.4393997712	407.4393997612	407.4393997492	407.4393997492	407.4393997192	407.4393997542	407.4393997542	407.4393997142	407.4393997142	426.3841998112	426.3841998082	426.3841998082	426.3841998062	426.3841998162	426.3841998122	426.3841998122	426.3841998152	426.3841998052	426.3841998152	426.3841998152	426.3841998152	426.3841998252	426.3841998252	426.3841998152	426.3841998152	426.3841998152	426.3841998052	426.3841998112	426.3841998212
Trioceros_balebicornutus	336.2069998821	336.2069998821	336.2069998821	336.2069998821	336.2069998831	336.2069998701	336.2069998701	336.2069998701	336.2069998701	336.2069998711	336.2069998711	336.2069998721	336.2069998711	336.2069998751	336.2069998701	336.2069998681	336.2069998721	336.2069998721	336.2069998721	336.2069998711	336.2069998641	336.2069998621	336.2069998721	336.2069998721	246.1307999461	246.1307999461	246.1307999461	246.1307999461	246.1307999461	246.1307999461	246.1307999461	246.1307999461	246.1307999541	246.1307999531	246.1307999531	246.1307999531	246.1307999501	246.1307999521	246.1307999521	0	5.814016	21.926482	88.42969489	88.42969489	88.42969489	88.42969489	88.429694894	88.429694894	89.8893586621	359.8187998621	359.8187998621	359.8187998721	359.8187998673	359.8187998673	359.8187998631	359.8187998631	359.8187998661	359.8187998661	359.8187999041	250.1232000423	376.6737998353	376.6737998338	376.6737998328	376.6737998328	376.6737998278	376.6737998378	376.6737998378	376.6737998378	376.6737998353	376.6737998377	376.6737998377	376.6737998385	376.6737998385	376.6737998383	376.6737998383	376.6737998383	376.6737998383	376.6737998385	376.6737998383	376.6737998383	376.6737998383	376.6737998383	376.6737998353	376.6737998453	376.6737997653	376.6737998453	376.6737998453	376.6737998453	376.6737998483	376.6737998433	376.6737998433	376.6737998483	376.6737998413	376.6737998413	376.6737998363	376.6737998363	407.4393997642	407.4393997642	407.4393997573	407.4393997773	407.4393997783	407.4393997783	407.4393997833	407.4393997733	407.4393997613	407.4393997613	407.4393997313	407.4393997663	407.4393997663	407.4393997263	407.4393997263	426.3841998233	426.3841998203	426.3841998203	426.3841998183	426.3841998283	426.3841998243	426.3841998243	426.3841998273	426.3841998173	426.3841998273	426.3841998273	426.3841998273	426.3841998373	426.3841998373	426.3841998273	426.3841998273	426.3841998273	426.3841998173	426.3841998233	426.3841998333
